,activation,batch_size,dropout_rate,features,hidden_layers,learning_rate,name,num_epochs,optimizer,patience,sliding_inference
185,sigmoid,32,0.5,['meanCPUUsage'],"[16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,4
186,tanh,16,0.3,['meanCPUUsage'],"[16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,8
187,sigmoid,16,0.1,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,8
188,sigmoid,32,0.5,['meanCPUUsage'],"[32, 16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,4
189,sigmoid,32,0.1,['meanCPUUsage'],"[16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,16
190,tanh,32,0.1,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,4
191,tanh,16,0.1,['meanCPUUsage'],"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,4
192,sigmoid,32,0.5,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,4
193,sigmoid,32,0.3,['meanCPUUsage'],"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,4
194,sigmoid,32,0.1,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,16
195,tanh,16,0.3,['meanCPUUsage'],"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,4
196,sigmoid,16,0.3,['meanCPUUsage'],"[32, 16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,16
197,sigmoid,16,0.1,['meanCPUUsage'],"[32, 16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,8
198,sigmoid,16,0.3,['meanCPUUsage'],"[32, 16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,8
199,tanh,16,0.5,['meanCPUUsage'],"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,8
